model,cold_period,click_from_tail_m_to_top_m_%,click_from_tail_m_to_top_n_%,click_from_top_m_to_tail_m_%,click_from_top_n_to_tail_m_%,click_from_tail_m_to_top_m_%_cold,click_from_tail_m_to_top_n_%_cold
lightgbm,0,7.44,1.51,0.54,0.0,99.95,100.0
lightgbm,10,7.57,1.55,0.56,0.0,99.96,100.0
lightgbm,100,8.53,1.64,0.74,0.0,99.96,100.0
lightgbm,200,9.84,1.73,1.0,0.0,99.93,100.0
lightgbm,500,13.03,1.72,1.58,0.01,99.9,100.0
xgboost,0,6.38,3.23,0.46,0.01,99.79,100.0
xgboost,10,6.52,3.25,0.47,0.01,99.39,100.0
xgboost,100,7.53,3.46,0.66,0.01,98.0,100.0
xgboost,200,8.81,3.56,0.88,0.01,98.37,100.0
xgboost,500,12.35,3.74,1.53,0.02,99.22,100.0
tabnet,0,0.01,0.0,0.0,0.0,50.0,0.0
tabnet,10,0.01,0.0,0.0,0.0,50.0,0.0
tabnet,100,0.01,0.0,0.0,0.0,50.0,0.0
tabnet,200,0.01,0.0,0.0,0.0,50.0,0.0
tabnet,500,0.01,0.0,0.0,0.0,50.0,0.0
catboost,0,7.68,2.08,0.56,0.0,100.0,100.0
catboost,10,7.8,2.09,0.58,0.0,99.96,100.0
catboost,100,8.88,2.29,0.78,0.0,99.51,100.0
catboost,200,10.33,2.29,1.06,0.0,99.64,100.0
catboost,500,13.85,2.2,1.72,0.01,99.71,100.0
