model,cold_period,CBIQ,CBRQ,IL_@0.98 Baseline,IL_@0.98 FE-UCB,coldCL@0.98 Baseline,coldCL@0.98 FE-UCB,CL_@0.98 Baseline,CL_@0.98 FE-UCB
catboost,0,2.0777389903329753,0.0,69052.88280309466,95323.91990726783,3263.423845863,4344.560995050119,218574.6274445947,218871.88820244747
catboost,10,2.0911654135338344,0.0,86792.39122286963,114144.04204042011,3720.5101048659362,4812.955892124788,218574.6274445947,218862.55587873844
catboost,100,2.289205155746509,0.0003986080606522025,270719.39578072994,312737.25560891966,8200.768232384651,9499.464738968743,218574.6274445947,218637.56646093653
catboost,200,2.292561761546724,0.00318886448521762,479631.9931553895,541467.427502432,14200.600604601279,15885.412488823535,218574.6274445947,218343.11760045248
catboost,500,2.201933404940924,0.011559633758913872,1027662.6100879154,1130019.2730850566,32271.41270648965,34831.911519693094,218574.6274445947,217651.7557621433
lightgbm,0,1.5131226566684521,0.0019936760595391416,69222.20179084508,93972.3862594077,3261.1768513607935,4258.161958288213,218525.66382818556,218822.72827613054
lightgbm,10,1.546598821638993,0.0019936760595391416,87248.4540608221,113474.93033705775,3723.365616229093,4737.808914109682,218525.66382818556,218808.56549437344
lightgbm,100,1.6369844670594538,0.00239241127144697,272435.15870797995,315100.7447780058,8213.282228497106,9462.260525002202,218525.66382818556,218571.6689555905
lightgbm,200,1.7273701124799143,0.00478482254289394,482770.9536034482,543965.8136765198,14226.451086827852,15826.801760009577,218525.66382818556,218297.68024230594
lightgbm,500,1.717327262988752,0.010765850721511367,1033110.5670268877,1130594.5247763703,32342.34462679942,34714.187400717725,218525.66382818556,217721.62887847592
xgboost,0,3.2270996191621566,0.007577842388854988,70267.81167397773,94892.62513378088,3306.645045294095,4287.634175778296,218547.17603099233,218742.67394374477
xgboost,10,3.2538250818467294,0.007577842388854988,87701.27442392238,112911.84787976023,3758.753722144601,4750.290240833279,218547.17603099233,218741.6355951589
xgboost,100,3.4576067348165966,0.009970845248493405,270768.9724675193,307828.03744284424,8232.553435486408,9388.559762540395,218547.17603099233,218546.45635857122
xgboost,200,3.561167902719316,0.013560349537951032,479842.4881136807,535759.9727979989,14252.38238951398,15791.923637021911,218547.17603099233,218278.3143513438
xgboost,500,3.7415647758401818,0.01994169049698681,1029195.5294246834,1124867.6594313139,32363.17554226826,34789.063184374594,218547.17603099233,217638.34007829975
tabnet,0,0.0,0.0,67505.72296364473,67504.8126848572,3142.689764165416,3142.3958944685264,210737.09641393376,210736.85737376718
tabnet,10,0.0,0.0,86432.49631629465,86430.94879489567,3609.8265954846056,3609.532725787716,210737.09641393376,210736.8943355672
tabnet,100,0.0,0.0,278803.6717751936,278801.75847116805,8113.993839343546,8113.739247297742,210737.09641393376,210737.02786265535
tabnet,200,0.0,0.0,498554.30309596966,498552.1314183704,14202.75491167474,14202.461021525294,210737.09641393376,210737.03984027467
tabnet,500,0.0,0.0,1068554.4479892016,1068552.010332722,32350.58299854606,32350.35828324243,210737.09641393376,210737.04632169718
