model,cold_period,from_tail_to_top_%,from_top_to_tail_%,mean_imps_from_tail_to_top,mean_imps_from_top_to_tail,from_tail_to_top_%_cold,from_top_to_tail_%_cold
lightgbm,0,0.67,0.0,0,8071,100.0,6.06
lightgbm,10,0.7,0.0,0,7009,100.0,6.25
lightgbm,100,0.86,0.01,13,3485,100.0,21.39
lightgbm,200,0.98,0.02,38,2457,100.0,26.86
lightgbm,500,1.03,0.05,109,1970,100.0,38.06
xgboost,0,1.31,0.02,0,7316,100.0,50.6
xgboost,10,1.33,0.02,0,6949,100.0,51.42
xgboost,100,1.53,0.03,8,4582,100.0,57.42
xgboost,200,1.69,0.05,26,3502,100.0,62.59
xgboost,500,1.85,0.09,76,3388,100.0,58.86
tabnet,0,0.0,0.0,0,0,100.0,0.0
tabnet,10,0.0,0.0,0,0,100.0,0.0
tabnet,100,0.0,0.0,24,22,100.0,100.0
tabnet,200,0.0,0.0,77,40,100.0,100.0
tabnet,500,0.0,0.0,112,118,100.0,100.0
catboost,0,0.77,0.0,0,6117,100.0,0.0
catboost,10,0.79,0.0,0,4836,100.0,3.77
catboost,100,0.99,0.01,14,1537,100.0,39.61
catboost,200,1.12,0.03,39,1294,100.0,50.66
catboost,500,1.11,0.06,95,2097,100.0,50.23
