index,Baseline,UCB-FE(T=0),UCB-FE(T=10),UCB-FE(T=100),UCB-FE(T=200),UCB-FE(T=500),Experiment
ROC AUC,0.6784829795814695,0.6809193759728962,0.6808743448078489,0.6799485145233736,0.6786556096690962,0.675865016224807,1
Stratified AUC,0.6431532790009065,0.6456815146226644,0.645543764561083,0.6436288104471574,0.6409700950231241,0.6349650667225004,1
ROC AUC,0.6686959135620001,0.6710405780322115,0.6709712002076744,0.6698860572248587,0.668362081637666,0.6652465734988984,2
Stratified AUC,0.6415190722629429,0.6445819507302424,0.6444484427610867,0.6424361216815966,0.6396546619274305,0.6335014811184285,2
ROC AUC,0.6745058796111572,0.6760838904190786,0.6760861264947411,0.6750161862498862,0.6736322803775,0.6704607550224502,3
Stratified AUC,0.6469257136980421,0.6487745295482884,0.6486798258208205,0.6466132590670005,0.6437185403767884,0.6375049726647176,3
ROC AUC,0.677147395494899,0.679156950103311,0.679083320582832,0.6781597740451581,0.6769092912710768,0.6729589471209128,4
Stratified AUC,0.6437332488744985,0.6461127605866512,0.6459960893145554,0.6438274216717429,0.6414640709381789,0.6355608911892373,4
ROC AUC,0.672308266317354,0.6735072021043514,0.6734691645115787,0.6723579135614817,0.6707759322320207,0.6675877289154448,5
Stratified AUC,0.6450441986172235,0.6466376118550502,0.6465368702150087,0.6443880979314748,0.6415094396593299,0.6355809228932344,5
ROC AUC,0.6746391457551748,0.6762934347784681,0.6762518725947289,0.6751133568220931,0.673793053488377,0.6706620832481317,6
Stratified AUC,0.6422307887440102,0.644463896149842,0.6443759180065742,0.6422932162891032,0.6397580080086522,0.6339989194349779,6
ROC AUC,0.6625119824801489,0.6643268098286372,0.6642370782226632,0.6631291160763879,0.6614924067942807,0.6585570948008386,7
Stratified AUC,0.6439262071201733,0.6460561020426796,0.645930122826518,0.6429874583284696,0.6390546217656853,0.6314249704013564,7
ROC AUC,0.6955229364429774,0.6977199431034897,0.6976718420667833,0.6964441892139036,0.6948375398996843,0.6923661265237053,8
Stratified AUC,0.6401942402883581,0.6424658432440334,0.6423286760301345,0.638884168575144,0.6350618992766398,0.6281383663722397,8
ROC AUC,0.6606898882305126,0.6624295830600819,0.6623478198108329,0.6611339522314944,0.6599203166526129,0.6579622279349424,9
Stratified AUC,0.640304605322052,0.6423838580327768,0.6421580731412007,0.6390940552899718,0.6356907728144515,0.6297522645276078,9
ROC AUC,0.6547285141909133,0.65680261082002,0.6568079522523795,0.6562997881292013,0.655888584323882,0.6555647521122983,10
Stratified AUC,0.6402219526680025,0.642742171447407,0.6425134215366968,0.6395121105208749,0.6364271005978276,0.6299209792560932,10
ROC AUC,0.6710784856865581,0.6731882036003451,0.6731024226502283,0.6715028676041055,0.6697658584278023,0.6662014757429959,11
Stratified AUC,0.6453808804291528,0.6478495501851752,0.6476359962216945,0.6445437930330782,0.6412906432828249,0.6357106613973091,11
ROC AUC,0.6684565066669111,0.6698739431821725,0.6697808764658664,0.668271047445048,0.6667616924701597,0.6638237049649981,12
Stratified AUC,0.6486190439836332,0.6509262271363576,0.6507575275867092,0.6474721754009052,0.6443009539165228,0.6381807279011026,12
ROC AUC,0.6711460957988644,0.6730448127983762,0.6729491012381008,0.6714899196592866,0.6696926692564573,0.6663738717098513,13
Stratified AUC,0.6463429130561835,0.6488227934258957,0.6486848058901558,0.6455808327635363,0.6423582700971899,0.6358808724237531,13
ROC AUC,0.6734189389180967,0.6757889810193825,0.6756859559710773,0.6742071229869463,0.672442706329437,0.6690805740244854,14
Stratified AUC,0.643683465909086,0.6473447421575731,0.6471522224077302,0.6442382642173491,0.641043818499716,0.6350767120463942,14
ROC AUC,0.6798713352405812,0.6834793385914013,0.6834875574810659,0.6828635506119669,0.6760298011093063,0.6735343629174861,15
Stratified AUC,0.6434173651069722,0.646814864175472,0.6467080586034543,0.6441255933772392,0.6407448455834821,0.6345414206557971,15
ROC AUC,0.675603211928601,0.6791635158555085,0.679105545382219,0.6776491288550571,0.6758516215317453,0.6726650731738184,16
Stratified AUC,0.6412392420250014,0.6451001496603405,0.6449911193447005,0.6421694019281748,0.6386071683608385,0.6322893093720756,16
ROC AUC,0.6720773503594645,0.6750967848686309,0.675057166439876,0.6735781793889091,0.6719347038100806,0.668846832619822,17
Stratified AUC,0.6438554452084505,0.647332930610854,0.6472053687206186,0.6444756992830473,0.6414922866154165,0.6351840924952419,17
ROC AUC,0.6758222435253629,0.6786282733088809,0.6785533408933573,0.6771489622181441,0.6754517488711811,0.6726424976010268,18
Stratified AUC,0.6452662847618668,0.6493811060854072,0.6492109531926712,0.6463615638700757,0.6429003305670273,0.6373966229572281,18
ROC AUC,0.6987361639833392,0.702443006878014,0.7024583852049482,0.7014124419105934,0.6997239932740488,0.697274363578821,19
Stratified AUC,0.645477310038285,0.6495281759483611,0.6494618518096736,0.6468611869440247,0.6436900191705001,0.6376801767079578,19
ROC AUC,0.6897338288510816,0.6949803564648463,0.6949598944573518,0.6945746940097995,0.6859485286175948,0.6801023543158172,20
Stratified AUC,0.6460756254554849,0.6499835226008764,0.6498669872910674,0.646745268956667,0.643536850608998,0.6376638127498732,20
ROC AUC,0.6734419558649831,0.676294407460635,0.6762143229884667,0.6747586352674486,0.6732053032084143,0.6701768236681553,21
Stratified AUC,0.6420813595272127,0.6460165248688122,0.6458560193139946,0.6431902349534673,0.6401983456062827,0.6343860241065137,21
