model,cold_period,CBIQ,IL_@0.98 Baseline,IL_@0.98 FE-UCB,coldCL@0.98 Baseline,coldCL@0.98 FE-UCB,CL_@0.98 Baseline,CL_@0.98 FE-UCB,Experiment
catboost,0,1.1691051848777283,48896.69322021227,64874.23454293202,2226.866581980364,2881.1073836102046,224950.17385019505,225172.5365937183,1
catboost,10,1.179481858116288,67744.51194515155,85217.23366842075,2646.4705175346176,3318.2365221160794,224950.17385019505,225159.0115716335,1
catboost,100,1.4250631247622012,283025.9932556654,317157.50451801426,7818.107925671056,8749.792385378056,224950.17385019505,224932.47449802823,1
catboost,200,1.5530420947044377,519322.62874613085,574903.3850034458,14658.908276754972,15980.66773749257,224950.17385019505,224602.17817484395,1
catboost,500,1.4388986890802808,1115142.1177197697,1213833.95259717,33832.31752349219,36090.347401620835,224950.17385019505,223883.5734146267,1
catboost,0,1.2439464438324943,62891.622682514295,84286.82799303511,2855.1725046262327,3733.221334778485,223970.2407787325,224252.73127768168,2
catboost,10,1.291425315734498,83217.72718829093,106308.54493442824,3309.6168239813874,4209.686744465536,223970.2407787325,224238.8295615824,2
catboost,100,1.4370271895673092,295757.4078983144,335931.43707436457,8590.359548008884,9750.042252513633,223970.2407787325,224012.18938316425,2
catboost,200,1.5034976102301143,523483.7809427751,584756.0546554043,14990.1595715884,16520.6220926175,223970.2407787325,223674.9005146242,2
catboost,500,1.4908365777229131,1102298.4182940891,1205951.6121825709,33415.030694191504,35823.36330736347,223970.2407787325,222918.45535326377,2
catboost,0,1.0215551441417614,42304.96312921285,57898.19845282818,1789.1664345666472,2377.9069828846286,220922.61691893137,221087.86760234408,3
catboost,10,1.0645331922771752,61810.138792366386,79321.19758142003,2220.7131159427363,2841.203385677241,220922.61691893137,221079.22085585067,3
catboost,100,1.2728114255487966,279962.2265781815,316845.9902892399,7323.111198225145,8246.124346848865,220922.61691893137,220839.6546899101,3
catboost,200,1.438111610685004,517131.68588922574,578029.9594209964,13894.079936471657,15284.781241040168,220922.61691893137,220499.6621179733,3
catboost,500,1.4050515736577625,1120250.1256946218,1227983.0729395377,32537.139676728748,34894.34094939544,220922.61691893137,219738.2146554955,3
catboost,0,0.9297595699861988,50068.56395291794,66478.05393998891,2257.7347401302354,2912.653585846492,214676.76810145355,214875.7078478897,4
catboost,10,0.955182683228009,71932.13451872914,90205.3633174948,2798.5936079040016,3475.9135088504145,214676.76810145355,214856.3578542638,4
catboost,100,1.194886322365076,282690.3758801589,318554.64103740273,8001.529034742915,8950.130176451095,214676.76810145355,214611.8671302115,4
catboost,200,1.3982712282995569,506896.24565373344,564516.6355919165,14443.038183056911,15808.044091281865,214676.76810145355,214293.49963544667,4
catboost,500,1.3256337618943852,1073197.4189182974,1174079.2803557245,32574.394036049027,34867.75998557096,214676.76810145355,213618.2078407377,4
catboost,0,2.666983222538778,39017.068716908565,58597.73375655021,1720.420517222572,2460.329872738852,197455.3014053968,197572.48954374177,5
